i3-dab5| accepted; 
x-ur2 ki ni2 dub2-bu| The Ki'ur? shrine, the place of relaxation of Enlil, has been made into a windblown shrine 
mu nig2-u2-rum-sze3| in place of Nig-urum
ki lu2-{d}utu-ta| from Lu-Utu, 
gu2-u3-gu2 a-igi-du8 gesz-gi| (for) Gu’ugu, water inspector, wood & reed,
u3-mun kalam-ma alal-gin7 an-na-ke4 sur-sur ba-gar-gar| Ditches/burial pits were put down (for) the blood of land like (it would be done for?) the drainpipe of heaven(?) 
a-ma-ru u18 mah| like a huge flood and wind-storm
{i7}idigna {i7}buranun-na ni2 mu-ni-ib-te kur-ra gu3 mi-ni-ib-ra| It has terrified the Tigris and Euphrates, it has screamed at the mountain/netherworld 
a-pi4-sal4{ki}-ta| from Apisal 
1(asz) 1(gesz2) 1(u) 6(disz)| (subtotal:) 1 gur 76;
bad3-bi| and their walls
lu2 kisz{ki}-ke4| and the Man of Kiš, 
x mu-un-x-ri| (Saying) He shall be the shepherd! The one of Nunamnir is imbued with a fierce aura(?) 
i3-dub ambar-sur-ra-ta| from the depot ambar-sur-ra,
szunigin sze-bi 7(gesz2) 5(asz) 3(ban2) gur| total, its barley: 425 gur 3 ban2; 
2(gesz'u) 4(gesz2) 3(u) 7(disz) sar al 7(disz) sar-ta| 1477 sar of hoeing at 7 sar (a day), 
e2-ninnu dim gal mu-gi| He made Eninnu firm as a mast. 
sag-en3-tar| who tends to 
nin e2-an-na-ra| the queen of the Eanna temple, 
pa-e3 bi2-ak| I have made resplendent, 
ga2-la x dag| made cease, 
alan ne2-ne2| from the statue of so-and-so
u4 ul kalam ki gar-ra-a-ba| In distant time, after the land(?) was founded (again, like before(?)) 
%a ha-mun-s,i2-lum| mouse 
dumu a-kur-gal| He is the son of Akurgal, 
3(disz) gin2 ku3-babbar| 3 shekels silver, 
1(disz) sza3 gul gal| 
1(disz) masz-da3 e2-uz-ga| one antelope (for) the E’uzga, 
mu e2 puzur4-isz-{d}da-gan| year: “The house of Puzriš-Dagan,” 
nig2 gal-gal-e szu mu-na-ab-il2| he raised the hand for big things. 
zi nam-ti-la en-na| for (my) life, until 
lugal {i7}idigna| king of the Tigris, 
gu5-li-gu10 sag u2-a he2-en-szub ki-ni ba-ra-zux(SU)| If my friend dropped his head in the plants then no one can know(?) his place 
dumu en-nu-a| son of Ennu'a,
u4 {d}utu| when Utu
bi2-in-hasz-am3| were smashed,
1(esze3) GAN2 gesz-ur3-ra| 1 eše3 land for harrowing, 
hur-sag ki {tu15}mer tusz-a-sze3| the mountain, the place where the North-Wind rests, 
4(u) 1(asz) 3(ban2) 4(disz) 1/2(disz) sila3 sze gur| 41 gur 3 ban 4 1/2 sila barley: 
gi ga6-ga2 ma2-la2-a kesz2-ra2| reed transported, onto a barge convoy bound; 
kin-bi 5(disz) 2/3(disz) sar| its work: 5 2/3 (volume-)sar; 
dumu lugal-uszur4| son of Lugal-ušur. 
e2 ukken-na| assembly house 
e-me-sar-sar| he inscribed, 
ab2 si nu-gal2-la| cow that does not have horns 
{d}kinda-zi lu2 e2-du10-ga-kam| Kindazi, who is the one of the “good house”
ad-da e-mu-ut-ba-la| father of Emutbala, 
{d}dumu-zi| for Dumuzi, 
ki-ru-gu2 1(u)-kam-ma-am3| 10th kirugu. 
szunigin 1(disz) {ansze}zi-zi-nita2| total: 1 stallion,
sza3 zu-mu-ug-ga i-zi-gin7 hu-luh-ha-za igi zi bar-mu-un-szi-ib| look into your darkened heart, terrifying like waves. 
a2-ni-kur-ra dumu| Anikura, a son, 
3(disz) e2-gal-e-si| 3 (mana wool for) Egalesi 
e2-ninnu anzu2{muszen} babbar2-ra-ni| his Eninnu With a White Thunderbird 
pisan u3-szub-ba-ta sig4 ba-ta-il2| he lifted the brick from the mold, 
giri3 szesz-kal-la szabra| via Šeškalla, the household manager, 
sag-en3-tar gir2-su{ki} ki-lagasz{ki}-a| tho tends to Girsu and the whole area of Lagaš. 
szu-{d}nin-isin2{+si}| Šū-Nin-Isin, 
igi-diri he2-duh x| If you (manage to) solve(?) the reciprocals, but the foundation (i.e. basis) is not grasped for you 
1(gesz2) 5(u) la2 1(disz) geme2 u4 1(disz)-sze3| 109 female laborer days, 
mu na-ru2-a-mah| xxx 
gurusz dab5-ba ur2 ama-ni-sze3 he2-gi4-gi4| May the captured youth be returned to the lap of his mother 
ki lu2-gi-na-ta| from Lugina; 
ga2-gin7-nam ma-da gin6-ne2-de3| I myself and that which is like me (my representatives/my instruction?) are to solidify the land 
1(asz) ur:nin-gir2-su| 1 Ur-Ningirsu; 
ba-an-da-ab-gal2| instigate.
ama dumu-dumu-ne-ra| the mother of all children, 
balag di sig4-ba e-ne ba-dur2-ru-ne-esz| Why were the lamenters sitting in its brick buildings? 
a-na-asz gesztu2 szu2-a-ab szu2-a-ab-gu10 ma-ra-szid-de3-en| Why do you recite(?) “cover your ears(?), cover your ears"? for me(?) 
an-ta mu-e3-esz| came down from heaven.
eridu{ki}-ga u4 husz-e szix(KAxBALAG) mi-ni-ib-gi4-gi4| In Eridu, the furious storm resounded 
en-na nu-al-mu2-mu2 al-tusz-en e-sze| Until it stops growing/chasing(?), I am staying (here)” 
ma2 nesag-ga2 a-a ugu-na-ka nesag nu-mu-un-na-ab-tum3| The boat with first-fruit offerings of the father who begot Nanna no longer brought first-fruit offerings. 
e2-sa-bad| Esabad (Temple of Gula at Isin) 
ki-sar-ra| To the ki-sar-ra
u3 ne3 mar-tu| and the forces of the Mardu
nig2-ka9-bi ak| xxx 
3(disz) sila3 kasz 2(disz) sila3 ninda 5(disz) gin2 szum2| 3 sila3) beer, 2 sila3 bread, 5 shekels onions, 
lukur ki-ag2 kaskal-la-ka-ni| his traveling lukur woman, 
1(disz) masz2-gal szimaszgi2{ki}| 1 buck, Šimaškian, 
nam-lu2-ulu3 igi-bi im szeg3-szeg3-ga2 in-bar| the people relied on rain; 
1(disz) lulim-nita2 niga| 1 male grain-fed stag, 
{d}inanna-ra| For Inanna, 
en zi sza3 dadag-ga-ke4| the true lord of a most pure heart, Suen,
ki-ru-gu2 2(disz)-kam-ma| It is the 2nd kirugu 
ukken-ne2 engar| Ukkene, the plowman; 
e2-kisz-nu-gal2-la| In the Ekišnugal temple 
szesz-gal ri2-mu-usz| big brother of Rimush, 
sag il2-la ul-le-esz e3-da-ni| in beauty had come forth head held high, 
bala ka tesz2 se3-ke| and a harmonious reign  
szul-gi sipa zi ki-en-gi-ra-ra nam mu-ni-ib2-tar-re| For Šulgi, good shepherd of Sumer, he decress a fate: 
mu {d}szul-gi lugal-e us2 e2 {d}nin-urta ki-a bi2-gar| Year: “By Šulgi, the king, the foundations of the house of Ninurta were layed”; 
u3 ibila-a-ni| and his heirs
ni2-bi-sze3 mur sza4 tesz2-bi-sze3 ad gi4-gi4| roaring by itself and giving advice at the same time. 
abul muzug2| Gate of impurity 
dam ki-ag2-ga2-ni| his (the king's) beloved wife,
szu-ti-a id-li2-id| receipts of Idlid, 
ur-{d}nin-gesz-zi-da| Ur-Ningešzida, 
a-pi4-sal4{ki}| Apisal, 
ki-nu2 gi-rin-na tum2-ma| who is fitting for the flowered bed - 
e2 kesz3{ki} iri{ki}-sze3| To the temple of Keš, to the city, the one who approaches should not approach 
{d}dumu-zi-abzu-ke4| of Dumuzi-abzu, 
la2-ia3 1(disz) ma-na 4(disz) gin2 1(u) 3(disz) sze ku3-babbar| Deficit: 1 mana, 4 shekels, 13 grains of silver.
{munus}lu2-kurun-na| the alewife 
lugal-za3-ge4-si kin-gi4-a-ar im-szi-in-gi4| Lugal-zage-si replied to the envoy:
i3-gub| set up. 
ud5-ga lu2 szu-luh-e ki ag2-e szu-luh nu-mu-ra-an-ga2-ga2| In the uzga shrine the priest who cherishes purification rites makes no purification rites for you. 
lugal-mu| Lugalmu,
ka2-zu ur-mah lu2 szu ti-a| Your gate is a lion seizing a man 
mu us2-sa an-sza-an{ki} ba-hul| year after: “Anšan was destroyed.”  
giri3 in-ta-e3-a| xxx 
szilamx(TUR3) niga i3-na| for the grain-fed cow of his fat (?), 
lu2 mu sar-ra-ba| A person who this inscription 
ARAD2-{d}nanna| ARAD-Nanna, 
{uruda}alan gal-gal min-a-bi mu-na-dim2| fashioned two big copper statues 
3(u) 8(disz) 1/2(disz) ma-na uruda| 38 1/2 mana of copper, 
kisal-luh tur e2-a sa lax(ME)-e-de3 esz3 mu-ni-x-sar-re| The young sweeper who is sweeping in the temple is braiding(?) a rope there (for you) 
a-ga-de3{ki} dim2-ma-bi ba-ra-e3| good sense left Agade. 
lugal-ra u3 sanga nu-un-na-be2-a| to the king or to the chief administrator he will not say, 
gu3 mu-ne-de2-e| he was calling out, (saying)
ka2-dingir-ra{ki} ug3-bi| and Babylon their people 
3(ban2) geme2-lugal dumu na-na-a| 3 ban2: Geme-lugal, child of Na-na-a; 
lugal-bi| that king 
dumu {d}er3-ra-ba-ni| son of Erra-bani, 
lugal-ezem dumu| Lugalezem, a son, 
nam en-nu-un {uruda}alan-na kisal e2-kur-igi-gal2 mu-a u4 7(disz) 1/2(disz)-a-kam| the office of guardian at the statue in the courtyard of E-kurigigal for 7 days and a half every year;
ARAD-{d}suen dumu-mu| of Warad-Sin my son,
lugal-mu-ma-ag2 ugula| of Lugal-mumag, foreman, 
{d}lugal-uru11{ki}-ra| for Lugalurub 
u3 ma-da| and the land 
ga-sze3-sa10| I want to buy it from you! 
{d}za-ba4-ba4| For Zababa, 
sa-gar-ra-am3| The sa-gara. 
i3 zu2-lum-ma| xxx 
kadra nig2 du10-ge szu nu-gid2-me-esz| They accept no pleasant gifts. 
e2-babbar gal-gal-la-e| who makes the Ebabbar very great, 
{d}ab-u2| To Ab'u,
1(disz) ma-na gi-na| 1 verified mina 
nu2-nu2| Slave, idiot lying next to the potter's kiln 
x x x {uruda}alan ba-ra-na-ni-in-ku4| Therefore no king had brought a statue inside for him/her 
pa e3 mah ak-de3| to make highly resplendent, 
8(gesz2) gurusz u4 1(disz)-sze3| 480 male laborer workdays 
a-sza3 da-umma{ki}| field of Da-Umma. 
e2-e im-ma-gen gu3 im-ma-de2-e| he goes to the temple and speaks to it. 
ar2-mur-ra uru2-gu10 ha-ba-du3-a e2-gu10 ha-ba-gul-la| Whose house has been made into ruins, 
2(disz) sila4 szesz-da-da sanga| 2 lambs, Šeš-dada, household administrator; 
he2-na-ab-szum2-mu| may he give. 
a-an-ne2-pa3-da| (From) A’anepada, 
1(u) 2(disz) gurusz u4 1(disz)-sze3| 12 male laborer workdays, 
{d}uru3-masz nimgir-gal-eden-na mu-un-da-an-x| Urumaš, the great herald of the plains, dwells there too. 
muszen sug-ta e3-ba-ra za-pa-ag2-zu ugu-gu10-ta| Bird, leave the marsh, (remove) your scream from above me 
{d}nisaba i-na ta-ar-ba-s,i lu-u2 sza-am-nu-um at-ti i-na su-pu-ri-im lu-u2 li-isz-du-um at-ti| may you be the butter, in the sheepfold, may be the cream 
{d}en-lil2 lugal kur-kur-ra-ke4 nam-zu he2-eb-tar-re| May Enlil, king of all the lands, decree your fate. 
{uruda}aga-silig-ga a2 2(disz)-na-bi-da u4-sar ba-an-ak| he had double-edged agasilig axes sharpened to be used against it. 
ganun e2-SZIR-ka| The storehouse of the Alabaster(?) Temple 
sza3-ge ba-pa3-da-a| had chosen him by (his) heart, 
4(iku) GAN2 a-sza3 gug4-sze| A stubble field of 4 iku
u8 amasz-bi im-mi-ib2-u3-tu sila4-bi tur3-e bi2-ib-si-si| Ewes have given birth in the folds, their lambs have filled the pens! 
{d}nin-e2-gal| of Ninegal, 
1(u) 3(disz) sila4 ga| 13 lambs, suckling, 
kiszib3 lugal-ku3-zu sukkal| under seal of Lugal-kuzu the messenger; 
i3-mi-si-a| he had put it, 
gesztu2 = %a uz-nu-um| ear 
a-ru-a an-na-ne-sze3| donated (?) (by) Annaneše (?); 
abul si-gar ba-gar| the great gate bolted, 
iti amar-a-a-si| month: “Amarasi,”
lu-ub-qu2-ma-am| Come, I shall “pluck” my husband (instead) 
{d}iszkur en-gal| Adad, the great lord: 
a-sza3 du6-gesz-i3-ka| Field: Du-Gešika. 
bad3-bi| and its wall 
1(asz) sza3-iri-ni-sze3| 1 Ša-iri-ni-še,
1(disz) sila4 niga bar-su-ga| 1 lamb, grain-fed, without fleece, 
u4 2(disz)-kam| 2nd day; 
1(disz) ma-na-am3| and as 1 mina
{gesz}a2 apin| arm of the plow 
kal-ga %a| mighty, 
gesz-hur ha-lam-me-de3| In order to overturn the day, in order to destroy the plans 
nam-ti lugal-ni| for the life of his master, 
mu ur-bi2-lum u3 mu ki-masz{ki}| year: “Urbilum and Kimaš were destroyed.” 
{d}a-nun-na dingir gal-gal-e-ne e-ne ba-e-ne-diri-ga| How (you) have been superior to the Anuna, the great gods! 
{lu2}en-nu-ug3-ga2 e2 kesz2-da ti-la ni2-bi-ta sur-ra| Guard who dwells in a bound-up house, slithering by itself 
umma{ki}| and Umma 
{d}en-lil2-le| and by Enlil
u4 2(u) 2(disz) ba-zal| the 22th day passed, 
i3-ni-du11| he has done to her,
asz-me ku3-sig17 husz| and a sun-disc ornament of red gold, 
dumu ur-sag {d}asz-im2-babbar-ra| son and hero of Ašimbabbar, 
sze kas sig15-kam| barley for groat-beer; 
mu {d}szu-{d}suen lugal uri5{ki}-ma-ke4 bad3 mar-tu mu-ri-iq-ti-id-ni-im mu-du3| xxx 
ga-al-ga na-asz2-a-kum| Galga brings to you.
1(disz) udu| (total:) 1 sheep. 
ki-babbar-ra{ki}-ka| in Kibabbara, 
zimbir{ki}| for Sippar, 
he2-gal2 nu-til-le-de3| (Its) abundance never to cease 
ka2 u6 di sila-ba bi2-in-gub| She set the door that is to be marveled at (open) in its path 
a2-bi 2/3(disz){sza} 4(disz) gin2| its labor: 2/3 (mana) 4 shekels; 
nig2-ka9-ak u3| xxx 
{d}nanna {d}utu-x| Of(?) Nanna and Utu 
el-szum{ki}| Elšum. 
ur-{d}lamma| Urlamma, 
ba-al-gi4| turtle 
ka mu-na-kesz2| and organized it for her. 
e2-ninnu an ki-da mu2-a| that Eninnu is joined both to heaven and earth—
szunigin 3(u) 3(barig) 1(ban2) 3(disz) 1/2(disz) sila3 gur| total: 30 gur 3 barig 1 ban2 3 1/2 sila3
kiszib3 ur-e11-e| under seal of Ur-e’e; 
gidlam ki ag2 {d}uszumgal-an-na-ka| Beloved spouse of (Ama)'ušumgalana (Dumuzi) 
e-ne-er mu-na-an-szum2 en {d}nu-nam-nir-re| lord Nunamnir gave it to my king. 
{d}utu en nig2-gi-na ki ag2| Utu, the lord who loves truth 
szunigin 3(u) 6(asz) 1(barig) 4(ban2) 7(disz) sila3 gur| (and) total: 36 gur 1 barig 4 ban2 7 sila3,
a2-bi u4 1(gesz2) 2(u) 4(disz) 1/2(disz)| its labor: 84 1/2 workdays; 
{d}dumu-zi-de3 er2 im-da-pa4 szex(SIG7)-szex(SIG7) i3-ga2-ga2| Dumuzi let out a wail and turned very pale. 
5(disz) gu4 niga| 5 oxen, grain-fed, 
u4 nam-ti-la-ka-ni su3-u4-ba-ni-ib| Make the days of his life extensive 
alan-na-ni mu-du2| he formed (this) stone figure of himself, 
lukur ki-ag2| the beloved lukur-woman 
%a me-te-lu-tam| supremacy 
a mu-na-ru| he dedicated it to her/him. 
u4 dingir-re-ne| when the gods 
mu pa3-da| called by name,
1(u) esir2 had2 gur lugal| 10 royal gur of dried bitumen,
ku3-ga-ke4-esz| Because of the silver 
e3 nig2 kal-la-ta| from the Precious House 
na-ru2-a-sze3 u3-ba-te u4 zalag| After approach a stela, shining light darkens for you 
mu-rig7| I have presented. 
mu si-mu-ru-um{ki} u3 lu-lu-bu{ki} a-ra2 1(u) la2 1(disz)-kam ba-hul| year: “Simurum and Lulubu for the 9th time were destroyed.” 
gesz-ka2 an-na-bi e2-ninnu u4 du11-ba gu3 di tesz2-ba gub-ba-am3| Its upper lintel, it is Eninnu coiled up, the roaring storm. 
7(disz) ab2| 7 cows,
u4 1(u) 3(disz)-kam| the 13th(?) day, 
bara2 {d}nu-musz-da-ka-ta| From the Dais of Numušda 
| xxx 
dam en-an-na-tum2| wife of Enanatum, 
munus-bi in-ga-mah iri mu-un-da-nigin2-e| That woman is also supreme, she can besiege(!?) the city 
{d}lamma sa6-ga-ni egir-ni im-us2| and his friendly protecting genius is following him,
dam-szi-lum-bi| a replica of it
ki en-nu-ug3 {d}suen-na {d}utu-bi-da-ta si-zu(SU) gu2 he2-en-me-er-me-re = %a it-ti ma-as,-s,ar-ti sza2 {d}sin u {d}szamasz sza2-ru-ur-ka li-ih-nu-ub| May your splendor be as abundant as that of the moon and sun in (their) watches. 
lugal e2-a-ke4| and the owner of the house
la-e2-ra-bu-um mu 2(disz) i3-ak| La-e-rabum, 2 years he ruled; 
sa6-ga szu-am3 hul| The good one is the hand, but the bad one is the heart 
nu-banda3| the overseer. 
bara2 babbar {gesz}gu-za suhusz gin6-na sag| Thus (my) head was raised heavenwards (on) the white dais and the throne with a firm foundation 
ur-sag e2 gibil-na kux(KWU636)-ra-am3| (Now) that the warrior had moved into his new House,
u4 dumu nibru{ki}| When the citizens of Nippur
{d}nanna-ar| (For) its emesig planking(?) towards the kugnuna forest(?) Nanna-Suen dispatched a man 
numun-e-esz2 mu-gar-gar| he strewed like seeds.
u8 gan2-gig du11-du11-ga| ewe that had a miscarriage 
szu-zu| By your hand they are produced(?) 
{d}utu lugal-a-ni-ir| and for Utu his master 
hur-sag li sikil mu2| a mountain range growing pure clean junipers,
1(bur3) GAN2 1(u) 1(disz)-ta| 2 bur3 surface area at 11 each, 
ensi2-ke4| the ruler 
ud5 gesz3 nu-zu| nanny goat that has not mated 
mu {gesz}gu-za-ta| from the year: “The chair” 
a-a-kal-la| Ayakala, 
1(disz) ug3 lu2-{d}szul-gi-ra dumu lugal-bad3 dumu diri-ta| 1 (workman,) porter: Lu-Šulgira, son of Lugal-bad, from the “excess children,” 
{disz}ku-du-ur-ma-bu-uk sipa sun5-na| I, Kudur-mabuk, the humble shepherd, 
gesztu2 dagal| the wide wisdom 
abul 4(disz)-kam-ma ku4-ku4-da-ni-ta| When she entered the 4th gate, 
szunigin 7(disz) dumu-da-ba u4 3(u)-sze3| total: 7 dumudaba-laborers for 30 days;
3(asz) gu2 siki kur-ra| 3 talents of mountain(-sheep) wool
1(u) 4(disz)| (total:) 14,
1(disz) kasz-dida 3(disz) sila3 kasz| 1 (dug-vessel) of beer extract, 3 sila3 of beer,
e2 {d}ga2-tum3-du10| xxx 
lu2-kar-ra-bi masz kar-ra-gin7 ur im-me-da| Their refugees, like stampeding goats, were chased (?) by dogs. 
a-ba-am3 lugal a-ba-am3 nu-lugal| who was king, who was pretender? 
e2-gar8 sumun-e ur2-bi| I follow the foundation of an old wall 
2(disz) amar gu4 ga| 2 bull calves, suckling, 
u4 ri-a nam ba-tar-ra-ba| In distant days when fate was determined. 
iti nesag| month “First-fruits;” 
in-da-gal2| exists; 
gi-sa dingir-re-ne| xxx 
gesz3 zi-zi| erection 
dam-a-ni ur2-ra-na a-la nu-mu-un-gi4-a-ni| that he could no longer bring pleasure to his wife with his embrace; 
lugal-e e2 {d}suen-na-ke4| The king, at the house of Suen, 
ugula mes-ni| foreman: Mesni; 
ub-da limmu2-ba %a i-na ki-ib-ra-at| In the four world quarters 
1(asz) i3 sila3| 1 sila3 oil, 
a2-bi u4 5(disz)| its labor: 5 days; 
u3 en-na {disz}be-el-ta-ni nin9-ne-ne al-til-la-asz| and as long as Bēltani, their sister, live
1(asz) GAN2 lugal-da-ga| 1 aš-c-(worker), ‘field’: Lugal-daga, 
kur gu2 gar-gar| the subjugator of all the foreign lands 
kab2-ku5 kun i7-da| (for) the reservoir (at) the outlet of the canal,
nam-ti u4 su13-ra2| and a life of long days 
dumu {d}suen-ta-a-ar| son of Sîn-tayyār, 
nar-gal| the chief musician, 
i3-ti sa-sa im-e3| (and) the most beautiful moonlight shone
{d}en-ki gesz-kin2-gin7| Enki, like a birch (?) 
mu us2-sa si-mu-ru-um{ki} lu-lu-bu{ki} a-ra2 1(u) la2 1(disz) ba-hul| Year following: "Simurum and Lulubum were destroyed for teh 9th time." 
lu2-sza-lim nu-banda3| Awil-šalim, the captain; 
sze mun| barley and salt;
ag2 mu nu-tuku-gin7 ba-ti-le-na-asz na-ag2-zu in-tar-ra| Because you have been living in a state of neglect, Enlil who has decreed your fate 
1(u) ugula ARAD2-mu dub-sar| 10, overseer ARADmu, the scribe 
1(asz) gu2 5(u) 8(disz) 1/3(disz) ma-na siki| 1 talent 58 1/3 mana wool, 
ug3 dagal szar2-ra-da| out over the broad population
lu2 e2-ninnu| the man who the Eninnu 
iti du6-ku3 u4 2(u) 1(disz)-kam| The month of Tašrītum, the day 21
a-sza3 muru13| at the field Muru: 
1(asz) masz-nita sza3-du10| 1 male kid, new-born; 
sug pesz du3-a| a swamp planted with (palm) seedlings - 
{d}szara2-kam ensi2-ka| of Šarakam, the governor, 
iti gu4-si-su| month, 'the horned ox marches forth';
igi {d}nansze-sze3| in front of Nanše 
ur-{d}nin-gal| for Ur-Ningal; 
4(u)| (total:) 40. 
e2 lugal-na-ka du3-bi| To build his king’s house, 
sag-ti-rin2| cult performer 
eresz2{ki}-ta| From Ereš 
igi un-nu-ub-tum lukur {d}nin-urta dumu-munus ur-{d}ba-ba6| before Unnubtum, nadītu of Ninurta, daughter of Ur-baba;
ki lugal-inim-gi-na-ka-ta| that from Lugal-inimgina 
mu us2-sa e2 puzur4-isz-{d}da-gan ba-du3| year after: “The household Puzriš-Dagan was erected;” 
la2-ia3 1(disz) kusz gu4 1(disz) ad7 gu4| deficit: 1 hide of ox, 1 carcass of ox, 
e2 nig2-si-sa2-a| the house of justice 
1(disz) sila4 nig2-ki-zah3 e2 {d}na-na-a| 1 lamb, that of disappearance(?), house of Nanaya; 
kur ti-id-nu-um{ki}-ma-ka he2-eb-zal kur-re he2-eb-zal| It has blown on Tidnum, it has blown on the foreign lands. 
4(gesz2) 1(u) 3(disz) erin2 u4 1(disz)-sze3| 253 labor-troop workdays,
a mu-na-ru| he dedicated it to her.
{d}utu di-ku5 nig2-si-sa2 za-e-me-en nam-ba-szaga-de3| Utu, you are the judge of justice, you are never to oppress (anyone) 
en {d}nanna| and en priestess of Nanna 
banda3{da} en {d}nin-gir2-su-ka-me| and Ningirsu’s unruly children—
bala ur-{d}lamma ensi2 gir2-su{ki}| the bala of Ur-Lamma, governor of Girsu; 
mu sza-asz-szu2-ru{ki} ba-hul| Year: “Šaššuru was destroyed.” 
uru2-ze-eb{ki} e2 {d}am-an-ki-ka3-sze3 ku4-ku4-da-zu-ne| In Eridu, when you have entered the house of Enki, 
igi kalam-ma-ke4| and the eyes of the nation 
szu bi2-in-dag gaba-ni ib2-ta-an-zi| he has abandoned it, turned his breast away from it, 
in-na-gen-na| and having gone to her, 
sa2 sze3-na-du11-du11| he provided regular provisions. 
ninda he2-gal2| If there was food, 
uru17 gul-gul-lu-de3 e2 gul-gul-lu-de3| In order to destroy the city, in order to destroy the temple 
gidlam-gu10| My spouse, holy Inanna 
ARAD {d}szu-i3-li2-szu| the servant of Šu-ilišu. 
lu2-ba {d}inanna nin kur-kur-ra-ke4| upon that person may Inanna, queen of all the lands, 
1(disz) sila4 lu2-{d}asar-lu2-hi szabra| 1 lamb (from) Lu-Asalluhi, the household manager. 
ur u4-da| but the dogs(?) today 
kin-bi 4(disz) sar| its work: 4 (volume-)sar; 
{d}nin-isin2{si}-na| For Nin-Isina, 
be-li2-szu| his lord
za-e dim2-me-de3 szah2-gin7 nu2-ba| You, lie down like a pig in order to fashion (things)/be fashioned(?) 
in-nin nam-ur-sag-sze3| the Lady who for the warrior's craft
mu us2-sa ki-masz{ki} ba-hul| year following: “Kimaš was destroyed.” 
